# NonDimLength  RelLossFactorError
3.861226e-02 -1.080578e+00
5.460599e-02 6.245763e-02
6.687840e-02 7.374225e-03
7.722453e-02 1.372930e-02
8.633965e-02 8.946003e-03
9.458035e-02 4.826860e-03
1.021584e-01 2.028765e-03
1.092120e-01 -8.625410e-04
1.158368e-01 1.283390e-04
1.221027e-01 -9.228414e-03
1.495447e-01 6.300817e-03
1.726793e-01 -1.341548e-03
1.930613e-01 9.519292e-04
2.114881e-01 2.077589e-04
2.284332e-01 -1.918809e-05
2.442054e-01 6.620764e-05
2.590189e-01 5.359264e-05
2.730299e-01 -3.060540e-05
2.863562e-01 -1.014886e-04
2.990893e-01 1.217803e-05
3.113020e-01 -2.131205e-05
3.230534e-01 -9.183286e-06
3.343920e-01 4.642142e-05
3.453586e-01 2.078953e-05
3.559875e-01 -1.862038e-05
3.663081e-01 -8.109911e-06
3.763458e-01 5.855261e-05
3.861226e-01 3.642089e-06
