#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.83000E+01  -1.73533E-02  -1.33830E-02  -1.91828E-02  -2.13771E-03  -1.98911E-02   7.68793E-03  -1.96199E-02   1.58372E-02  -1.85457E-02   2.21121E-02  -1.68630E-02   2.63936E-02  -1.47688E-02   2.86551E-02  -1.24499E-02   2.89703E-02  -1.00729E-02   2.75144E-02  -7.77805E-03   2.45606E-02  -5.67555E-03   2.04715E-02  -3.84618E-03   1.56875E-02  -2.34390E-03   1.07121E-02
 3.85000E+01  -1.71135E-02  -1.33607E-02  -1.88746E-02  -2.17034E-03  -1.95261E-02   7.61169E-03  -1.92118E-02   1.57286E-02  -1.81102E-02   2.19819E-02  -1.64170E-02   2.62519E-02  -1.43297E-02   2.85112E-02  -1.20345E-02   2.88320E-02  -9.69670E-03   2.73884E-02  -7.45365E-03   2.44518E-02  -5.41211E-03   2.03834E-02  -3.64830E-03   1.56216E-02  -2.21088E-03   1.06679E-02
 3.88000E+01  -1.67690E-02  -1.33314E-02  -1.84305E-02  -2.22324E-03  -1.89987E-02   7.49361E-03  -1.86209E-02   1.55622E-02  -1.74785E-02   2.17834E-02  -1.57691E-02   2.60365E-02  -1.36909E-02   2.82925E-02  -1.14296E-02   2.86221E-02  -9.14817E-03   2.71972E-02  -6.98025E-03   2.42869E-02  -5.02736E-03   2.02498E-02  -3.35909E-03   1.55217E-02  -2.01635E-03   1.06011E-02
 3.91000E+01  -1.64419E-02  -1.33066E-02  -1.80071E-02  -2.28026E-03  -1.84944E-02   7.37177E-03  -1.80545E-02   1.53923E-02  -1.68717E-02   2.15817E-02  -1.51455E-02   2.58181E-02  -1.30751E-02   2.80712E-02  -1.08456E-02   2.84099E-02  -8.61784E-03   2.70039E-02  -6.52203E-03   2.41203E-02  -4.65456E-03   2.01149E-02  -3.07863E-03   1.54207E-02  -1.82756E-03   1.05336E-02
 3.94000E+01  -1.61315E-02  -1.32858E-02  -1.76037E-02  -2.34074E-03  -1.80123E-02   7.24688E-03  -1.75115E-02   1.52197E-02  -1.62886E-02   2.13776E-02  -1.45451E-02   2.55976E-02  -1.24811E-02   2.78479E-02  -1.02814E-02   2.81959E-02  -8.10483E-03   2.68091E-02  -6.07825E-03   2.39524E-02  -4.29314E-03   1.99789E-02  -2.80647E-03   1.53191E-02  -1.64421E-03   1.04655E-02
 3.97000E+01  -1.58372E-02  -1.32684E-02  -1.72193E-02  -2.40408E-03  -1.75513E-02   7.11955E-03  -1.69909E-02   1.50451E-02  -1.57281E-02   2.11717E-02  -1.39668E-02   2.53754E-02  -1.19080E-02   2.76233E-02  -9.73607E-03   2.79807E-02  -7.60832E-03   2.66133E-02  -5.64820E-03   2.37836E-02  -3.94252E-03   1.98423E-02  -2.54219E-03   1.52168E-02  -1.46603E-03   1.03971E-02
 4.00000E+01  -1.55582E-02  -1.32539E-02  -1.68530E-02  -2.46976E-03  -1.71105E-02   6.99037E-03  -1.64916E-02   1.48689E-02  -1.51893E-02   2.09645E-02  -1.34096E-02   2.51523E-02  -1.13547E-02   2.73977E-02  -9.20877E-03   2.77647E-02  -7.12749E-03   2.64168E-02  -5.23120E-03   2.36142E-02  -3.60216E-03   1.97051E-02  -2.28541E-03   1.51142E-02  -1.29275E-03   1.03285E-02
 4.02000E+01  -1.53804E-02  -1.32457E-02  -1.66186E-02  -2.51461E-03  -1.68275E-02   6.90347E-03  -1.61701E-02   1.47509E-02  -1.48416E-02   2.08260E-02  -1.30493E-02   2.50032E-02  -1.09964E-02   2.72471E-02  -8.86681E-03   2.76204E-02  -6.81527E-03   2.62856E-02  -4.96013E-03   2.35011E-02  -3.38070E-03   1.96135E-02  -2.11819E-03   1.50457E-02  -1.17983E-03   1.02826E-02
 4.05000E+01  -1.51255E-02  -1.32352E-02  -1.62811E-02  -2.58315E-03  -1.64184E-02   6.77229E-03  -1.57043E-02   1.45734E-02  -1.43366E-02   2.06180E-02  -1.25251E-02   2.47794E-02  -1.04741E-02   2.70211E-02  -8.36759E-03   2.74040E-02  -6.35889E-03   2.60887E-02  -4.56346E-03   2.33314E-02  -3.05631E-03   1.94761E-02  -1.87304E-03   1.49429E-02  -1.01417E-03   1.02138E-02
 4.08000E+01  -1.48843E-02  -1.32266E-02  -1.59596E-02  -2.65285E-03  -1.60273E-02   6.64049E-03  -1.52573E-02   1.43957E-02  -1.38506E-02   2.04099E-02  -1.20194E-02   2.45557E-02  -9.96918E-03   2.67952E-02  -7.88414E-03   2.71878E-02  -5.91622E-03   2.58920E-02  -4.17817E-03   2.31618E-02  -2.74085E-03   1.93387E-02  -1.63439E-03   1.48400E-02  -8.52763E-04   1.01449E-02
