#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.83000E+01  -8.42121E-01  -2.62729E+00  -9.18115E-01  -3.11971E+00  -9.61973E-01  -3.61535E+00  -9.67871E-01  -4.10544E+00  -9.30960E-01  -4.58190E+00  -8.47465E-01  -5.03751E+00  -7.14775E-01  -5.46601E+00  -5.31513E-01  -5.86226E+00  -2.97586E-01  -6.22237E+00  -1.42215E-02  -6.54379E+00   3.16019E-01  -6.82553E+00   6.89247E-01  -7.06822E+00   1.10027E+00  -7.27431E+00
 3.85000E+01  -8.53674E-01  -2.62044E+00  -9.31130E-01  -3.11095E+00  -9.76191E-01  -3.60441E+00  -9.82979E-01  -4.09203E+00  -9.46600E-01  -4.56572E+00  -8.63250E-01  -5.01826E+00  -7.30298E-01  -5.44340E+00  -5.46362E-01  -5.83599E+00  -3.11356E-01  -6.19214E+00  -2.65282E-02  -6.50932E+00   3.05530E-01  -6.78654E+00   6.80890E-01  -7.02447E+00   1.09431E+00  -7.22557E+00
 3.88000E+01  -8.71039E-01  -2.61038E+00  -9.50675E-01  -3.09807E+00  -9.97524E-01  -3.58831E+00  -1.00562E+00  -4.07229E+00  -9.70010E-01  -4.54190E+00  -8.86838E-01  -4.98992E+00  -7.53448E-01  -5.41009E+00  -5.68447E-01  -5.79727E+00  -3.31764E-01  -6.14756E+00  -4.46746E-02  -6.45846E+00   2.90181E-01  -6.72900E+00   6.68812E-01  -6.95987E+00   1.08590E+00  -7.15358E+00
 3.91000E+01  -8.88452E-01  -2.60055E+00  -9.70258E-01  -3.08549E+00  -1.01887E+00  -3.57258E+00  -1.02825E+00  -4.05298E+00  -9.93374E-01  -4.51859E+00  -9.10334E-01  -4.96218E+00  -7.76449E-01  -5.37747E+00  -5.90321E-01  -5.75933E+00  -3.51890E-01  -6.10386E+00  -6.24625E-02  -6.40859E+00   2.75273E-01  -6.67255E+00   6.57262E-01  -6.89647E+00   1.07812E+00  -7.08291E+00
 3.94000E+01  -9.05922E-01  -2.59094E+00  -9.89888E-01  -3.07319E+00  -1.04025E+00  -3.55719E+00  -1.05089E+00  -4.03409E+00  -1.01670E+00  -4.49578E+00  -9.33750E-01  -4.93502E+00  -7.99318E-01  -5.34552E+00  -6.12002E-01  -5.72215E+00  -3.71753E-01  -6.06103E+00  -7.99112E-02  -6.35968E+00   2.60786E-01  -6.61716E+00   6.46219E-01  -6.83425E+00   1.07092E+00  -7.01351E+00
 3.97000E+01  -9.23456E-01  -2.58155E+00  -1.00957E+00  -3.06116E+00  -1.06167E+00  -3.54213E+00  -1.07354E+00  -4.01560E+00  -1.04001E+00  -4.47345E+00  -9.57102E-01  -4.90841E+00  -8.22071E-01  -5.31421E+00  -6.33504E-01  -5.68571E+00  -3.91370E-01  -6.01903E+00  -9.70389E-02  -6.31170E+00   2.46701E-01  -6.56282E+00   6.35664E-01  -6.77316E+00   1.06431E+00  -6.94536E+00
 4.00000E+01  -9.41062E-01  -2.57236E+00  -1.02932E+00  -3.04938E+00  -1.08314E+00  -3.52739E+00  -1.09621E+00  -3.99750E+00  -1.06331E+00  -4.45158E+00  -9.80403E-01  -4.88235E+00  -8.44721E-01  -5.28353E+00  -6.54845E-01  -5.64998E+00  -4.10757E-01  -5.97783E+00  -1.13863E-01  -6.26463E+00   2.32999E-01  -6.50947E+00   6.25578E-01  -6.71318E+00   1.05825E+00  -6.87842E+00
 4.02000E+01  -9.52842E-01  -2.56634E+00  -1.04253E+00  -3.04167E+00  -1.09748E+00  -3.51773E+00  -1.11134E+00  -3.98564E+00  -1.07884E+00  -4.43724E+00  -9.95914E-01  -4.86526E+00  -8.59770E-01  -5.26341E+00  -6.68990E-01  -5.62655E+00  -4.23562E-01  -5.95081E+00  -1.24918E-01  -6.23374E+00   2.24070E-01  -6.47446E+00   6.19105E-01  -6.67380E+00   1.05451E+00  -6.83446E+00
 4.05000E+01  -9.70581E-01  -2.55747E+00  -1.06240E+00  -3.03030E+00  -1.11904E+00  -3.50349E+00  -1.13408E+00  -3.96814E+00  -1.10215E+00  -4.41609E+00  -1.01916E+00  -4.84005E+00  -8.82280E-01  -5.23372E+00  -6.90093E-01  -5.59196E+00  -4.42602E-01  -5.91090E+00  -1.41272E-01  -6.18811E+00   2.10970E-01  -6.42273E+00   6.09759E-01  -6.61561E+00   1.04934E+00  -6.76947E+00
 4.08000E+01  -9.88409E-01  -2.54877E+00  -1.08235E+00  -3.01915E+00  -1.14068E+00  -3.48952E+00  -1.15686E+00  -3.95098E+00  -1.12548E+00  -4.39535E+00  -1.04238E+00  -4.81532E+00  -9.04722E-01  -5.20459E+00  -7.11071E-01  -5.55802E+00  -4.61452E-01  -5.87174E+00  -1.57365E-01  -6.14333E+00   1.98210E-01  -6.37194E+00   6.00837E-01  -6.55845E+00   1.04468E+00  -6.70563E+00
