# freq eta
 (3.539999999999999858e+01+0.000000000000000000e+00j)  (1.435750775221832143e+01-1.369911522617340172e+00j)  (1.488185894250156238e+01-1.361638848365784860e+00j)  (1.458771368113371381e+01-1.429540054140026051e+00j)  (1.484064890945525761e+01-1.594660762952123001e+00j)
 (3.560000000000000142e+01+0.000000000000000000e+00j)  (1.439800104522882762e+01-1.373786295773072208e+00j)  (1.492114645160400066e+01-1.365992446647770642e+00j)  (1.462687130797664103e+01-1.433568653379339697e+00j)  (1.488258870644042631e+01-1.600644662591343081e+00j)
 (3.589999999999999858e+01+0.000000000000000000e+00j)  (1.445854645730243604e+01-1.379557370420342988e+00j)  (1.497980107952831119e+01-1.372504804745021456e+00j)  (1.468529366608871456e+01-1.439645870791668392e+00j)  (1.494504628269699609e+01-1.609672562611684787e+00j)
 (3.610000000000000142e+01+0.000000000000000000e+00j)  (1.449877023685856692e+01-1.383400969203217423e+00j)  (1.501872670662977605e+01-1.376819998934965650e+00j)  (1.472404979660005608e+01-1.443681249080210671e+00j)  (1.498639023298701645e+01-1.615728653794009873e+00j)
 (3.639999999999999858e+01+0.000000000000000000e+00j)  (1.455888139567818484e+01-1.389139450904655515e+00j)  (1.507683247038132279e+01-1.383308717380063557e+00j)  (1.478188658364843633e+01-1.449785533851415398e+00j)  (1.504792079464089127e+01-1.624878139128491883e+00j)
 (3.660000000000000142e+01+0.000000000000000000e+00j)  (1.459881993258304789e+01-1.392941866646710602e+00j)  (1.511538254322378094e+01-1.387607935906040035e+00j)  (1.482026047750516895e+01-1.453854947656006535e+00j)  (1.508864114936917566e+01-1.631012981749471624e+00j)
 (3.689999999999999858e+01+0.000000000000000000e+00j)  (1.465853665186136467e+01-1.398642051140671860e+00j)  (1.517292218215301602e+01-1.394060454173476682e+00j)  (1.487754107034449902e+01-1.459983884994241921e+00j)  (1.514926290936312192e+01-1.640301462380781672e+00j)
 (3.720000000000000284e+01+0.000000000000000000e+00j)  (1.471799765715910624e+01-1.404298795777679132e+00j)  (1.523011232967492212e+01-1.400482592288884387e+00j)  (1.493448007270385602e+01-1.466125058948936744e+00j)  (1.520929595507602272e+01-1.649647482530393727e+00j)
 (3.739999999999999858e+01+0.000000000000000000e+00j)  (1.475751736964065941e+01-1.408071705946319696e+00j)  (1.526806678337268153e+01-1.404763836098923635e+00j)  (1.497225365756871795e+01-1.470218176237399588e+00j)  (1.524901097430018204e+01-1.655909350007729319e+00j)
 (3.770000000000000284e+01+0.000000000000000000e+00j)  (1.481658112239237113e+01-1.413725875377428443e+00j)  (1.532469319658138929e+01-1.411156701279154602e+00j)  (1.502866153784314562e+01-1.476397471400151762e+00j)  (1.530808764401542987e+01-1.665388768838229172e+00j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)  (1.487541997340387212e+01-1.419336687547289255e+00j)  (1.538097528460037111e+01-1.417539614053379360e+00j)  (1.508474980365745921e+01-1.482597719895564659e+00j)  (1.536656605881129423e+01-1.674929328673211648e+00j)
 (3.829999999999999716e+01+0.000000000000000000e+00j)  (1.493403226425962771e+01-1.424934606065315190e+00j)  (1.543691102423936812e+01-1.423908838218860939e+00j)  (1.514053866606845489e+01-1.488823609750772103e+00j)  (1.542446142708030798e+01-1.684554784583117693e+00j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)  (1.497296131869854996e+01-1.428642798376627443e+00j)  (1.547400429813085942e+01-1.428141510547223048e+00j)  (1.517754878073604274e+01-1.492984487194302101e+00j)  (1.546273397205459510e+01-1.691015227570590973e+00j)
 (3.879999999999999716e+01+0.000000000000000000e+00j)  (1.503118864114823694e+01-1.434196156528777077e+00j)  (1.552934967531366972e+01-1.434496772482320326e+00j)  (1.523284277375230467e+01-1.499235538497135867e+00j)  (1.551961541421491120e+01-1.700738307157378726e+00j)
 (3.910000000000000142e+01+0.000000000000000000e+00j)  (1.508919402017352951e+01-1.439734202771125293e+00j)  (1.558435108086501231e+01-1.440832116578393496e+00j)  (1.528782776292432466e+01-1.505526081770808045e+00j)  (1.557589870375046459e+01-1.710554937917066809e+00j)
 (3.939999999999999858e+01+0.000000000000000000e+00j)  (1.514697023670728271e+01-1.445241373476752633e+00j)  (1.563899375626413146e+01-1.447150713191578841e+00j)  (1.534254775661079861e+01-1.511823713595437546e+00j)  (1.563156866169302717e+01-1.720415301457657309e+00j)
 (3.970000000000000284e+01+0.000000000000000000e+00j)  (1.520452155685108409e+01-1.450729896019206766e+00j)  (1.569327509216042493e+01-1.453465014431552849e+00j)  (1.539699640721518747e+01-1.518172386805751950e+00j)  (1.568660637383698031e+01-1.730350242469848254e+00j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)  (1.526186847124946766e+01-1.456206629534033459e+00j)  (1.574720529467425933e+01-1.459777358784706935e+00j)  (1.545117551965553204e+01-1.524524341036656239e+00j)  (1.574103650294753010e+01-1.740330497254794384e+00j)
 (4.020000000000000284e+01+0.000000000000000000e+00j)  (1.529996254664297872e+01-1.459832800637730355e+00j)  (1.578295516427167833e+01-1.463970872859492456e+00j)  (1.548715744251566306e+01-1.528784580305909246e+00j)  (1.577695921306229820e+01-1.747022849001353295e+00j)
 (4.050000000000000000e+01+0.000000000000000000e+00j)  (1.535695447564473959e+01-1.465288417324754677e+00j)  (1.583627094464056029e+01-1.470241291073263179e+00j)  (1.554091864451719296e+01-1.535179807814380126e+00j)  (1.583033994128015109e+01-1.757106781918470917e+00j)
 (4.079999999999999716e+01+0.000000000000000000e+00j)  (1.541373313721553018e+01-1.470698540220732653e+00j)  (1.588924506100426370e+01-1.476517512503569218e+00j)  (1.559445048923128319e+01-1.541612286352935346e+00j)  (1.588307718167271787e+01-1.767220259420818618e+00j)
 (4.110000000000000142e+01+0.000000000000000000e+00j)  (1.547028850058503657e+01-1.476088001762046131e+00j)  (1.594183676539240224e+01-1.482791286105505479e+00j)  (1.564775516756677476e+01-1.548064547406387659e+00j)  (1.593520307973410155e+01-1.777395493502083479e+00j)
 (4.139999999999999858e+01+0.000000000000000000e+00j)  (1.552664241426030145e+01-1.481460551945088966e+00j)  (1.599407170998173200e+01-1.489041850440840697e+00j)  (1.570084089523833981e+01-1.554554332537171124e+00j)  (1.598668136576920773e+01-1.787585810207377390e+00j)
 (4.170000000000000284e+01+0.000000000000000000e+00j)  (1.558279581293066585e+01-1.486819463966384536e+00j)  (1.604595131582609469e+01-1.495285795711917221e+00j)  (1.575373331172264102e+01-1.561071137737047199e+00j)  (1.603754759204237956e+01-1.797827181175895461e+00j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)  (1.563874443157207317e+01-1.492159228411932714e+00j)  (1.609745809199086963e+01-1.501527347049875338e+00j)  (1.580641189494287602e+01-1.567590847618202554e+00j)  (1.608776630424510046e+01-1.808073513414800937e+00j)
 (4.229999999999999716e+01+0.000000000000000000e+00j)  (1.569450916677655705e+01-1.497481555965325173e+00j)  (1.614860760955535568e+01-1.507745162530428118e+00j)  (1.585893088680648688e+01-1.574153770920940332e+00j)  (1.613738144319810885e+01-1.818339206970178701e+00j)
 (4.260000000000000142e+01+0.000000000000000000e+00j)  (1.575005228415264114e+01-1.502784872202753697e+00j)  (1.619940655461820000e+01-1.513960434010315437e+00j)  (1.591126662491302213e+01-1.580736702579578212e+00j)  (1.618637677561822130e+01-1.828616486623878767e+00j)
 (4.289999999999999858e+01+0.000000000000000000e+00j)  (1.580542236601948503e+01-1.508069174149775371e+00j)  (1.624982811385967807e+01-1.520161758462945656e+00j)  (1.596343799288874266e+01-1.587327654604241189e+00j)  (1.623475797495192552e+01-1.838876950568439472e+00j)
 (4.320000000000000284e+01+0.000000000000000000e+00j)  (1.586058136621173631e+01-1.513334297056700750e+00j)  (1.629991683748579945e+01-1.526357199394404063e+00j)  (1.601548380656047854e+01-1.593954401753263417e+00j)  (1.628254474901367388e+01-1.849146818610607479e+00j)
 (4.360000000000000142e+01+0.000000000000000000e+00j)  (1.593384976763806726e+01-1.520324230537664301e+00j)  (1.636615160116054568e+01-1.534593351617213886e+00j)  (1.608465037170629586e+01-1.602805775568968638e+00j)  (1.634535422370074542e+01-1.862788647726525415e+00j)
 (4.389999999999999858e+01+0.000000000000000000e+00j)  (1.598857437975993889e+01-1.525541958875906268e+00j)  (1.641541741151069544e+01-1.540754080219845168e+00j)  (1.613640714364009199e+01-1.609464063188150940e+00j)  (1.639179533538180777e+01-1.872988629464699573e+00j)
 (4.420000000000000284e+01+0.000000000000000000e+00j)  (1.604310885668081710e+01-1.530746382795336480e+00j)  (1.646435033363655620e+01-1.546895030905313995e+00j)  (1.618805849019925347e+01-1.616137738974406490e+00j)  (1.643767537887789842e+01-1.883133435240793574e+00j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)  (1.609745932323964368e+01-1.535933300149908920e+00j)  (1.651295476046456656e+01-1.553017281503243252e+00j)  (1.623961659489853560e+01-1.622819852780553074e+00j)  (1.648302810401821716e+01-1.893230465237520699e+00j)
 (4.479999999999999716e+01+0.000000000000000000e+00j)  (1.615163614688170668e+01-1.541104893804428277e+00j)  (1.656122626640968321e+01-1.559130148075707600e+00j)  (1.629110928700698224e+01-1.629509276016588348e+00j)  (1.652785716680526207e+01-1.903243819909612000e+00j)
 (4.520000000000000284e+01+0.000000000000000000e+00j)  (1.622358069147883342e+01-1.547961968451537551e+00j)  (1.662509670413238183e+01-1.567246448870595055e+00j)  (1.635965569205396974e+01-1.638429477838785786e+00j)  (1.658685759772632551e+01-1.916481003194154820e+00j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)  (1.627732558993577072e+01-1.553096622988848319e+00j)  (1.667264176858612856e+01-1.573302819949029097e+00j)  (1.641102383572884804e+01-1.645114016220081465e+00j)  (1.663055524960946840e+01-1.926297326647287811e+00j)
 (4.579999999999999716e+01+0.000000000000000000e+00j)  (1.633091387996521604e+01-1.558203964098628269e+00j)  (1.671989890336350726e+01-1.579341323872117897e+00j)  (1.646234898076735220e+01-1.651809300390531199e+00j)  (1.667379810656358785e+01-1.936002827338126009e+00j)
