# freq eta
 (3.539999999999999858e+01+0.000000000000000000e+00j)  (1.422121421970804533e+01-3.708018591186673651e-01j)  (1.466997306598672424e+01-3.656094700550686083e-01j)
 (3.560000000000000142e+01+0.000000000000000000e+00j)  (1.426391112422898999e+01-3.716469337154233998e-01j)  (1.471135665575823737e+01-3.666413466736786475e-01j)
 (3.589999999999999858e+01+0.000000000000000000e+00j)  (1.432780532607623769e+01-3.728990139323012931e-01j)  (1.477320818299418725e+01-3.681831483129255900e-01j)
 (3.610000000000000142e+01+0.000000000000000000e+00j)  (1.437029859370215590e+01-3.737245142156845890e-01j)  (1.481430915184326302e+01-3.692056395167400140e-01j)
 (3.639999999999999858e+01+0.000000000000000000e+00j)  (1.443388853455073217e+01-3.749546505309682143e-01j)  (1.487572905771161302e+01-3.707394144593487706e-01j)
 (3.660000000000000142e+01+0.000000000000000000e+00j)  (1.447616679637898685e+01-3.757716660451907442e-01j)  (1.491653691466178167e+01-3.717545556175392285e-01j)
 (3.689999999999999858e+01+0.000000000000000000e+00j)  (1.453948810464343921e+01-3.769741472951556038e-01j)  (1.497756074791774772e+01-3.732771788827531356e-01j)
 (3.720000000000000284e+01+0.000000000000000000e+00j)  (1.460265508768364739e+01-3.781727649462851559e-01j)  (1.503830971126145855e+01-3.747896498508769825e-01j)
 (3.739999999999999858e+01+0.000000000000000000e+00j)  (1.464466876183256616e+01-3.789652069098568554e-01j)  (1.507868523425888263e+01-3.757998364293363425e-01j)
 (3.770000000000000284e+01+0.000000000000000000e+00j)  (1.470760178364062298e+01-3.801324573316394728e-01j)  (1.513903593722897867e+01-3.773021931434605847e-01j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)  (1.477041664514086605e+01-3.812849192869150472e-01j)  (1.519916081911233974e+01-3.788029682316871316e-01j)
 (3.829999999999999716e+01+0.000000000000000000e+00j)  (1.483311064214261421e+01-3.824212385576858386e-01j)  (1.525903570323927028e+01-3.802850182740478147e-01j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)  (1.487486659226178531e+01-3.831693981189205345e-01j)  (1.529882179625560923e+01-3.812840791801824780e-01j)
 (3.879999999999999716e+01+0.000000000000000000e+00j)  (1.493741400294363686e+01-3.842721567930835191e-01j)  (1.535831417710974023e+01-3.827671257911646752e-01j)
 (3.910000000000000142e+01+0.000000000000000000e+00j)  (1.499988168838575575e+01-3.853637596122285736e-01j)  (1.541757102120200429e+01-3.842421089211726093e-01j)
 (3.939999999999999858e+01+0.000000000000000000e+00j)  (1.506228655794296145e+01-3.864388764364656836e-01j)  (1.547660492426131285e+01-3.857191274021308791e-01j)
 (3.970000000000000284e+01+0.000000000000000000e+00j)  (1.512463441214486082e+01-3.874978532646565776e-01j)  (1.553541946147452535e+01-3.871794589343876547e-01j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)  (1.518694883230188353e+01-3.885285415104419160e-01j)  (1.559400548733619374e+01-3.886420137948825571e-01j)
 (4.020000000000000284e+01+0.000000000000000000e+00j)  (1.522847194666257309e+01-3.892122308109517981e-01j)  (1.563294327006171258e+01-3.896042007250534178e-01j)
 (4.050000000000000000e+01+0.000000000000000000e+00j)  (1.529072797117393989e+01-3.902214593634224515e-01j)  (1.569116505889542346e+01-3.910636260789265850e-01j)
 (4.079999999999999716e+01+0.000000000000000000e+00j)  (1.535298862531670494e+01-3.912026031366195311e-01j)  (1.574917496008102802e+01-3.925015575723473926e-01j)
 (4.110000000000000142e+01+0.000000000000000000e+00j)  (1.541524705177720378e+01-3.921713722758747300e-01j)  (1.580696941190742066e+01-3.939441307204473719e-01j)
 (4.139999999999999858e+01+0.000000000000000000e+00j)  (1.547750747437057228e+01-3.931212665362464054e-01j)  (1.586455760645081270e+01-3.953817383153946374e-01j)
 (4.170000000000000284e+01+0.000000000000000000e+00j)  (1.553979993716394858e+01-3.940521212234011084e-01j)  (1.592193100638909797e+01-3.968139694300291120e-01j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)  (1.560212893422074387e+01-3.949711864314634502e-01j)  (1.597910316915953821e+01-3.982338405449987739e-01j)
 (4.229999999999999716e+01+0.000000000000000000e+00j)  (1.566449803490773718e+01-3.958714219692847647e-01j)  (1.603606386703695108e+01-3.996536963687168931e-01j)
 (4.260000000000000142e+01+0.000000000000000000e+00j)  (1.572690590969316204e+01-3.967477539108095752e-01j)  (1.609282956495570716e+01-4.010675778121873258e-01j)
 (4.289999999999999858e+01+0.000000000000000000e+00j)  (1.578937656855652705e+01-3.976161235544480865e-01j)  (1.614940384237175408e+01-4.024834047548276894e-01j)
 (4.320000000000000284e+01+0.000000000000000000e+00j)  (1.585191165429721849e+01-3.984673526116299103e-01j)  (1.620575259616497377e+01-4.038775955836193532e-01j)
 (4.360000000000000142e+01+0.000000000000000000e+00j)  (1.593538504212217788e+01-3.995866333977006746e-01j)  (1.628060480090180917e+01-4.057476334376797222e-01j)
 (4.389999999999999858e+01+0.000000000000000000e+00j)  (1.599809514446312697e+01-4.004119050106129674e-01j)  (1.633651641651896114e+01-4.071461211050599327e-01j)
 (4.420000000000000284e+01+0.000000000000000000e+00j)  (1.606081900348117841e+01-4.012206764131787673e-01j)  (1.639226903817051095e+01-4.085340868557977290e-01j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)  (1.612365506761257805e+01-4.020280061431497076e-01j)  (1.644779137597148733e+01-4.099134633475940981e-01j)
 (4.479999999999999716e+01+0.000000000000000000e+00j)  (1.618652333687786182e+01-4.028217936002016497e-01j)  (1.650314376050796739e+01-4.112963493734952403e-01j)
 (4.520000000000000284e+01+0.000000000000000000e+00j)  (1.627041859285739989e+01-4.038818494790334945e-01j)  (1.657664505651053588e+01-4.131354273162730628e-01j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)  (1.633338122705647066e+01-4.046756857641131133e-01j)  (1.663157199018632326e+01-4.144966262983675875e-01j)
 (4.579999999999999716e+01+0.000000000000000000e+00j)  (1.639636564353912718e+01-4.054731882174439361e-01j)  (1.668631007586327897e+01-4.158597299468472230e-01j)
 (4.610000000000000142e+01+0.000000000000000000e+00j)  (1.645934971196125218e+01-4.062729189774154648e-01j)  (1.674087757721483527e+01-4.172216033753601838e-01j)
