#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.83000E+01   1.83638E+00  -1.41381E+00   1.51443E+00  -2.69709E+00   1.12829E+00  -3.90282E+00   7.12903E-01  -4.94351E+00   3.03025E-01  -5.74773E+00  -6.94543E-02  -6.26356E+00  -3.77993E-01  -6.46117E+00  -6.03376E-01  -6.33434E+00  -7.35106E-01  -5.90088E+00  -7.72115E-01  -5.20187E+00  -7.22776E-01  -4.29991E+00  -6.04266E-01  -3.27643E+00  -4.41367E-01  -2.22836E+00
 3.85000E+01   1.83888E+00  -1.35244E+00   1.51022E+00  -2.63928E+00   1.11671E+00  -3.85065E+00   6.93920E-01  -4.89847E+00   2.77292E-01  -5.71064E+00  -1.00672E-01  -6.23464E+00  -4.12924E-01  -6.44005E+00  -6.39905E-01  -6.32020E+00  -7.70976E-01  -5.89253E+00  -8.05147E-01  -5.19794E+00  -7.51095E-01  -4.29897E+00  -6.26514E-01  -3.27717E+00  -4.56891E-01  -2.22969E+00
 3.88000E+01   1.84453E+00  -1.26148E+00   1.50576E+00  -2.55392E+00   1.10104E+00  -3.77398E+00   6.66943E-01  -4.83267E+00   2.39931E-01  -5.65693E+00  -1.46541E-01  -6.19325E+00  -4.64643E-01  -6.41037E+00  -6.94277E-01  -6.30089E+00  -8.24574E-01  -5.88175E+00  -8.54647E-01  -5.19356E+00  -7.93628E-01  -4.29883E+00  -6.59988E-01  -3.27924E+00  -4.80281E-01  -2.23233E+00
 3.91000E+01   1.85239E+00  -1.17178E+00   1.50344E+00  -2.47010E+00   1.08733E+00  -3.69912E+00   6.41661E-01  -4.76891E+00   2.03947E-01  -5.60542E+00  -1.91378E-01  -6.15416E+00  -5.15666E-01  -6.38300E+00  -7.48259E-01  -6.28380E+00  -8.78030E-01  -5.87302E+00  -9.04186E-01  -5.19098E+00  -8.36307E-01  -4.30015E+00  -6.93648E-01  -3.28243E+00  -5.03839E-01  -2.23573E+00
 3.94000E+01   1.86240E+00  -1.08325E+00   1.50318E+00  -2.38773E+00   1.07549E+00  -3.62598E+00   6.17975E-01  -4.70711E+00   1.69227E-01  -5.55604E+00  -2.35303E-01  -6.11730E+00  -5.66121E-01  -6.35785E+00  -8.01975E-01  -6.26887E+00  -9.31461E-01  -5.86628E+00  -9.53868E-01  -5.19014E+00  -8.79219E-01  -4.30291E+00  -7.27558E-01  -3.28671E+00  -5.27611E-01  -2.23988E+00
 3.97000E+01   1.87452E+00  -9.95802E-01   1.50493E+00  -2.30673E+00   1.06545E+00  -3.55447E+00   5.95792E-01  -4.64716E+00   1.35664E-01  -5.50868E+00  -2.78433E-01  -6.08257E+00  -6.16127E-01  -6.33487E+00  -8.55542E-01  -6.25602E+00  -9.84980E-01  -5.86146E+00  -1.00379E+00  -5.19099E+00  -9.22448E-01  -4.30707E+00  -7.61786E-01  -3.29205E+00  -5.51642E-01  -2.24474E+00
 4.00000E+01   1.88870E+00  -9.09375E-01   1.50863E+00  -2.22702E+00   1.05714E+00  -3.48451E+00   5.75027E-01  -4.58899E+00   1.03162E-01  -5.46328E+00  -3.20875E-01  -6.04989E+00  -6.65796E-01  -6.31396E+00  -9.09076E-01  -6.24519E+00  -1.03869E+00  -5.85851E+00  -1.05406E+00  -5.19349E+00  -9.66077E-01  -4.31259E+00  -7.96394E-01  -3.29844E+00  -5.75975E-01  -2.25031E+00
 4.02000E+01   1.89930E+00  -8.52288E-01   1.51216E+00  -2.17456E+00   1.05252E+00  -3.43869E+00   5.61933E-01  -4.55115E+00   8.20379E-02  -5.43406E+00  -3.48838E-01  -6.02922E+00  -6.98776E-01  -6.30115E+00  -9.44800E-01  -6.23907E+00  -1.07466E+00  -5.85756E+00  -1.08781E+00  -5.19605E+00  -9.95424E-01  -4.31701E+00  -8.19708E-01  -3.30326E+00  -5.92387E-01  -2.25441E+00
 4.05000E+01   1.91688E+00  -7.67405E-01   1.51902E+00  -2.09683E+00   1.04695E+00  -3.37114E+00   5.43366E-01  -4.49577E+00   5.11045E-02  -5.39174E+00  -3.90355E-01  -5.99981E+00  -7.48123E-01  -6.28356E+00  -9.98517E-01  -6.23147E+00  -1.12893E+00  -5.85762E+00  -1.13885E+00  -5.20119E+00  -1.03990E+00  -4.32472E+00  -8.55089E-01  -3.31131E+00  -6.17321E-01  -2.26113E+00
 4.08000E+01   1.93647E+00  -6.83364E-01   1.52774E+00  -2.02020E+00   1.04297E+00  -3.30494E+00   5.26027E-01  -4.44196E+00   2.10034E-02  -5.35118E+00  -4.31444E-01  -5.97227E+00  -7.97411E-01  -6.26789E+00  -1.05248E+00  -6.22574E+00  -1.18367E+00  -5.85942E+00  -1.19048E+00  -5.20787E+00  -1.08498E+00  -4.33370E+00  -8.91015E-01  -3.32034E+00  -6.42673E-01  -2.26851E+00
