#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.83000E+01   5.22971E-02  -3.94022E-02   4.45060E-02  -5.38789E-02   3.52975E-02  -6.60988E-02   2.54385E-02  -7.51777E-02   1.56521E-02  -8.04690E-02   6.57508E-03  -8.15670E-02  -1.27756E-03  -7.83005E-02  -7.53743E-03  -7.07173E-02  -1.19960E-02  -5.90600E-02  -1.46050E-02  -4.37343E-02  -1.54646E-02  -2.52707E-02  -1.47985E-02  -4.28048E-03  -1.29197E-02   1.85931E-02
 3.85000E+01   5.21719E-02  -3.90775E-02   4.42559E-02  -5.35680E-02   3.49258E-02  -6.58058E-02   2.49594E-02  -7.49057E-02   1.50905E-02  -8.02210E-02   5.96420E-03  -8.13462E-02  -1.89785E-03  -7.81105E-02  -8.12340E-03  -7.05621E-02  -1.25028E-02  -5.89441E-02  -1.49895E-02  -4.36625E-02  -1.56874E-02  -2.52475E-02  -1.48266E-02  -4.30994E-03  -1.27274E-02   1.85077E-02
 3.88000E+01   5.18536E-02  -3.84897E-02   4.37334E-02  -5.29921E-02   3.42072E-02  -6.52512E-02   2.40710E-02  -7.43809E-02   1.40750E-02  -7.97343E-02   4.87847E-03  -8.09062E-02  -2.98648E-03  -7.77263E-02  -9.14137E-03  -7.02435E-02  -1.33748E-02  -5.87010E-02  -1.56431E-02  -4.35047E-02  -1.60570E-02  -2.51843E-02  -1.48568E-02  -4.34932E-03  -1.23751E-02   1.83592E-02
 3.91000E+01   5.15955E-02  -3.79580E-02   4.32798E-02  -5.24781E-02   3.35642E-02  -6.47627E-02   2.32622E-02  -7.39243E-02   1.31400E-02  -7.93155E-02   3.87067E-03  -8.05313E-02  -4.00349E-03  -7.74019E-02  -1.00977E-02  -6.99766E-02  -1.41989E-02  -5.84993E-02  -1.62657E-02  -4.33759E-02  -1.64155E-02  -2.51356E-02  -1.48981E-02  -4.38728E-03  -1.20580E-02   1.82293E-02
 3.94000E+01   5.13213E-02  -3.72775E-02   4.28084E-02  -5.18049E-02   3.29010E-02  -6.41093E-02   2.24305E-02  -7.33021E-02   1.21797E-02  -7.87358E-02   2.83613E-03  -8.00056E-02  -5.04717E-03  -7.69421E-02  -1.10787E-02  -6.95952E-02  -1.50430E-02  -5.82086E-02  -1.69011E-02  -4.31878E-02  -1.67770E-02  -2.50613E-02  -1.49304E-02  -4.43617E-03  -1.17180E-02   1.80497E-02
 3.97000E+01   5.10730E-02  -3.66632E-02   4.23559E-02  -5.11990E-02   3.22488E-02  -6.35216E-02   2.16016E-02  -7.27419E-02   1.12147E-02  -7.82124E-02   1.79028E-03  -7.95287E-02  -6.10730E-03  -7.65224E-02  -1.20795E-02  -6.92441E-02  -1.59087E-02  -5.79380E-02  -1.75582E-02  -4.30094E-02  -1.71586E-02  -2.49860E-02  -1.49799E-02  -4.47359E-03  -1.13914E-02   1.78919E-02
 4.00000E+01   5.08970E-02  -3.60914E-02   4.19854E-02  -5.06399E-02   3.16861E-02  -6.29838E-02   2.08667E-02  -7.22330E-02   1.03444E-02  -7.77398E-02   8.35844E-04  -7.91006E-02  -7.08351E-03  -7.61477E-02  -1.30082E-02  -6.89324E-02  -1.67179E-02  -5.76995E-02  -1.81783E-02  -4.28544E-02  -1.75258E-02  -2.49241E-02  -1.50402E-02  -4.51336E-03  -1.11025E-02   1.77436E-02
 4.02000E+01   5.08112E-02  -3.56984E-02   4.17688E-02  -5.02528E-02   3.13389E-02  -6.26083E-02   2.04014E-02  -7.18745E-02   9.78490E-03  -7.74038E-02   2.15893E-04  -7.87934E-02  -7.72238E-03  -7.58763E-02  -1.36196E-02  -6.87046E-02  -1.72537E-02  -5.75234E-02  -1.85914E-02  -4.27383E-02  -1.77735E-02  -2.48758E-02  -1.50860E-02  -4.53965E-03  -1.09180E-02   1.76372E-02
 4.05000E+01   5.07695E-02  -3.51912E-02   4.15477E-02  -4.97590E-02   3.09364E-02  -6.21338E-02   1.98325E-02  -7.14246E-02   9.08044E-03  -7.69843E-02  -5.79320E-04  -7.84110E-02  -8.55281E-03  -7.55391E-02  -1.44228E-02  -6.84218E-02  -1.79645E-02  -5.73054E-02  -1.91461E-02  -4.25955E-02  -1.81141E-02  -2.48183E-02  -1.51627E-02  -4.57657E-03  -1.06921E-02   1.74986E-02
 4.08000E+01   5.05526E-02  -3.45526E-02   4.11078E-02  -4.91203E-02   3.02752E-02  -6.15048E-02   1.89725E-02  -7.08153E-02   8.06359E-03  -7.64054E-02  -1.69407E-03  -7.78747E-02  -9.69345E-03  -7.50589E-02  -1.55090E-02  -6.80128E-02  -1.89128E-02  -5.69832E-02  -1.98753E-02  -4.23757E-02  -1.85500E-02  -2.47156E-02  -1.52423E-02  -4.60369E-03  -1.03662E-02   1.73313E-02
